Protein Name	Organism	UniProtKB Accession
Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXZ6
Apolipoprotein D (Apo-D) (ApoD)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8SPI0
Klotho (EC 3.2.1.31) [Cleaved into: Klotho peptide]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WP17
Zinc transporter ZIP9 (Solute carrier family 39 member 9) (Zrt- and Irt-like protein 9) (ZIP-9)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JP5
Adenylate kinase 7 (AK 7) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 7)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JP6
T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LI7
Regulator of microtubule dynamics protein 2 (RMD-2) (Protein FAM82A1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LL7
Kinesin-like protein KIF2C (Mitotic centromere-associated kinesin) (MCAK)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LP1
Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Differentially-expressed nucleolar TGF-beta1 target protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BE64
Caytaxin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GKT0
Histone deacetylase 11 (HD11) (EC 3.5.1.98)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GKU5
Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (Cmo2DD) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9TQS6
Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A1XD95
Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O62676
UDP-glucuronosyltransferase 2B18 (UDPGT 2B18) (EC 2.4.1.17)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O97951
Apolipoprotein C-I, acidic form (Apo-CIA) (ApoC-IA) (Apolipoprotein C1A) [Cleaved into: Truncated apolipoprotein C-I, acidic form (Apo-CIA') (ApoC-IA')]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P0DTQ3
Chymase (EC 3.4.21.39) (Alpha-chymase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P56435
Beta-defensin 1 (BD-1) (Defensin, beta 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61261
Abnormal spindle-like microcephaly-associated protein homolog	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P62291
Kallikrein-1 (EC 3.4.21.35) (Kidney/pancreas/salivary gland kallikrein) (Tissue kallikrein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q07276
Agouti-signaling protein (ASP) (Agouti switch protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q1XGV3
Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q28479
Protein sprouty homolog 2 (Spry-2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFN5
Heme oxygenase 2 (HO-2) (EC 1.14.14.18)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PG53
Solute carrier family 41 member 2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R335
CCR4-NOT transcription complex subunit 9 (Cell differentiation protein RQCD1 homolog) (Rcd-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R347
Tubulin polymerization-promoting protein family member 2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3A0
DDB1- and CUL4-associated factor 12 (WD repeat-containing protein 40A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3J7
Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3K5
Claudin-11	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3L1
tRNA wybutosine-synthesizing protein 2 homolog (tRNA-yW-synthesizing protein 2) (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3U8
Zinc finger protein 14	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4C7
Leucine-rich repeat LGI family member 3 (Leucine-rich glioma-inactivated protein 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4H3
Adenylyl cyclase-associated protein 1 (CAP 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4I6
Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4J0
Protein NDRG2 (N-myc downstream-regulated gene 2 protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4K0
Complexin-1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4N1
Stathmin-3	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4N5
Pre-mRNA-splicing factor SLU7	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4P2
Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4P9
26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4R0
Proteasome activator complex subunit 3 (Activator of multicatalytic protease subunit 3) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4V3
Small ribosomal subunit protein eS1 (40S ribosomal protein S3a)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4Z6
Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R543
Epsilon-sarcoglycan (Epsilon-SG)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5B1
S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (S-phase kinase-associated protein 1A) (p19A) (p19skp1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5B9
T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5G2
Annexin A7 (Annexin VII) (Annexin-7)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5L5
Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5M0
Lymphocyte antigen 6H (Ly-6H)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5M8
Lysosomal acid phosphatase (LAP) (EC 3.1.3.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5N9
Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5P6
Sorting nexin-7	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5U9
Tektin-2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5V1
Ubiquitin-conjugating enzyme E2 G1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G1) (Ubiquitin carrier protein G1) (Ubiquitin-protein ligase G1) [Cleaved into: Ubiquitin-conjugating enzyme E2 G1, N-terminally processed]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5Y8
Dynein regulatory complex subunit 5 (T-complex-associated testis-expressed protein 1) (Tcte-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R642
TATA box-binding protein-associated factor RNA polymerase I subunit B (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B) (Transcription initiation factor SL1/TIF-IB subunit B)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R657
Cation channel sperm-associated auxiliary subunit gamma	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6B2
Ubiquitin carboxyl-terminal hydrolase 50 (EC 3.4.19.12) (Deubiquitinating enzyme 50) (Ubiquitin thioesterase 50) (Ubiquitin-specific-processing protease 50)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6D3
Transketolase-like protein 1 (EC 2.2.1.1) (Transketolase 2) (TK 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6M8
Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6P8
Clusterin-associated protein 1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6Y7
Nucleolar protein 58 (Nucleolar protein 5)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R779
Anthrax toxin receptor-like	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7B7
Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7C8
Palmitoyltransferase ZDHHC16 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 16) (DHHC-16)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7E2
THAP domain-containing protein 5	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7M0
tRNA-uridine aminocarboxypropyltransferase 2 (EC 2.5.1.25) (DTW domain-containing protein 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7M4
Protein LMBR1L (Lipocalin-1-interacting membrane receptor) (LIMR)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7X9
RAD52 motif-containing protein 1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R856
Vesicle-trafficking protein SEC22a (SEC22 vesicle-trafficking protein homolog A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R866
Dynein assembly factor with WD repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8E7
Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8N7
Enhancer of mRNA-decapping protein 3 (YjeF domain-containing protein 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8V9
Glutaminyl-peptide cyclotransferase-like protein (EC 2.3.2.5) (Golgi-resident glutaminyl-peptide cyclotransferase) (isoQC) (gQC)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R942
Activated RNA polymerase II transcriptional coactivator p15 (SUB1 homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R947
G2/M phase-specific E3 ubiquitin-protein ligase (EC 2.3.2.26) (G2/M phase-specific HECT-type E3 ubiquitin transferase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R9C4
Tectonic-3	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R9E0
Keratin-associated protein 13-4	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4W7G9
Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q5UEM8
Peroxisomal biogenesis factor 3 (Peroxin-3) (Peroxisomal assembly protein PEX3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE1
Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE9
All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q64FG0
Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6Q7D2
C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6TAC8
NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q7J3C3
Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXN9
NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXQ9
Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW4
Myelin proteolipid protein (PLP) (Lipophilin)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW7
Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW9
Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX2
Melanocortin receptor 4 (MC4-R)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX3
Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HY87
Uricase (EC 1.7.3.3) (Urate oxidase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8MHW6
Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8SPH5
Melanin-concentrating hormone receptor 2 (MCH receptor 2) (MCH-R2) (MCHR-2) (G-protein coupled receptor 145) (GPRv17) (MCH-2R) (MCH2) (MCH2R)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8SQ54
UDP-glucuronosyltransferase 2B30 (UDPGT 2B30) (EC 2.4.1.17)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WN97
Nuclear transition protein 2 (TP-2) (TP2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WNV1
Transcription factor SOX-30	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WNV5
Cell cycle control protein 50C (Transmembrane protein 30C)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JK4
Dynein regulatory complex protein 1 (Coiled-coil domain-containing protein 164)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JM8
Prenylcysteine oxidase 1 (EC 1.8.3.5)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95KC9
Clavesin-2 (Retinaldehyde-binding protein 1-like 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95KF7
T-cell surface glycoprotein CD3 epsilon chain (CD antigen CD3e)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LI5
T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LI8
Sperm equatorial segment protein 1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LJ2
Protein disulfide-isomerase-like protein of the testis	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LM0
G-protein coupled receptor 15	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BDS7
